train/value_loss,train/learning_rate,train/explained_variance,time/total_timesteps,train/policy_loss,time/iterations,time/time_elapsed,train/n_updates,time/fps,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
5.044381850893842e-06,0.0007,-0.00021338462829589844,64000,-0.0018432628130540252,800,4,12799,915,-0.5584941506385803,,
2.389910491729097e-11,0.0007,3.337860107421875e-05,64500,-1.835924763327057e-06,900,4,12899,914,-0.5323997735977173,,
0.0004075938486494124,0.0007,-6.627544403076172,65000,0.019511688500642776,,,12999,,-0.35057303309440613,300.0,-2.9999999329447746
,,,65000,,1000,5,,841,,,
8.645730531497975e-07,0.0007,0.0,65500,-0.00012070700904587284,1100,6,13099,849,-0.4020964205265045,,
2.4857391700550124e-09,0.0007,2.384185791015625e-07,66000,-4.686166903411504e-06,1200,7,13199,854,-0.33046460151672363,,
6.167289257064112e-08,0.0007,5.960464477539063e-08,66500,-4.2591316741891205e-05,1300,7,13299,857,-0.46910738945007324,,
7.025423201412195e-06,0.0007,-1.1920928955078125e-07,67000,-0.0009055444970726967,1400,8,13399,859,-0.5875400900840759,,
2.1934454252914293e-11,0.0007,0.0005791187286376953,67500,-6.415845064111636e-07,1500,8,13499,864,-0.41542428731918335,,
8.819675656468462e-09,0.0007,5.960464477539063e-08,68000,-4.306924165575765e-05,1600,9,13599,868,-0.6540966629981995,,
2.081230832118308e-06,0.0007,-1.1920928955078125e-07,68500,-0.0006089792586863041,1700,9,13699,869,-0.6706928014755249,,
1.0152945324748419e-11,0.0007,0.004061400890350342,69000,-1.704046553641092e-06,1800,10,13799,868,-0.4803338944911957,,
3.216657606941453e-09,0.0007,1.5914440155029297e-05,69500,-2.353059062443208e-05,1900,10,13899,869,-0.6096458435058594,,
4.029428055218887e-06,0.0007,0.0,70000,-0.001003364333882928,,,13999,,-0.3301541209220886,300.0,-2.9999999329447746
,,,70000,,2000,11,,836,,,
6.526456708400019e-09,0.0007,4.76837158203125e-07,70500,-4.9401947762817144e-05,100,0,14099,934,-0.6912482976913452,,
2.9354866910580313e-06,0.0007,0.0,71000,-0.0014665067428722978,200,1,14199,942,-0.5208489298820496,,
6.501629234989537e-10,0.0007,1.9669532775878906e-05,71500,-3.004805421369383e-06,300,1,14299,930,-0.38001441955566406,,
