time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/n_updates,train/value_loss,train/clip_range,train/loss,train/clip_fraction,train/learning_rate,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
460800,5,9,1093,,,,,,,,,,,,
462848,1,0,2069,2250,7.699262424558401,0.2,7.100563049316406,0.201708984375,0.0003,0.9494353532791138,-0.6396865101531148,0.0050677832419751215,0.14495508,,
464896,2,3,1336,2260,1.537480697222054,0.2,1.476521372795105,0.156005859375,0.0003,0.9826569557189941,-0.3939647226594388,0.02155448663397692,0.0616875,,
465000,,,,2270,0.6750441056676209,0.2,0.14756716787815094,0.1607421875,0.0003,0.9951783418655396,-0.36107519175857306,0.0020426469985977747,0.044852197,90.2,52.871133384108546
466944,3,5,1166,,,,,,,,,,,,
468992,4,7,1139,2280,0.6041349700186401,0.2,0.270565390586853,0.156396484375,0.0003,0.9949154853820801,-0.3534732297528535,0.011306995972699952,0.084117755,,
470000,,,,2290,9.543107273429632,0.2,4.003524303436279,0.1958984375,0.0003,0.9303207993507385,-0.6425330581143498,0.015009142056806013,0.025474088,138.2,52.07947039157152
471040,5,9,1065,,,,,,,,,,,,
473088,1,1,1984,2300,10.409503418952227,0.2,4.073749542236328,0.154443359375,0.0003,0.9472992420196533,-0.7008326388895512,0.0065161040380189664,0.10157822,,
475000,,,,2310,2.549345761723816,0.2,1.4662357568740845,0.13828125,0.0003,0.9728878140449524,-0.4193147515878081,0.008586619497509673,0.032672442,80.8,51.01599942445755
475136,2,3,1241,,,,,,,,,,,,
477184,3,5,1167,2320,1.8377906570211053,0.2,0.8311444520950317,0.14404296875,0.0003,0.9810974597930908,-0.4124798276461661,0.006381373168551363,0.025371183,,
479232,4,7,1117,2330,0.829718718957156,0.2,0.16584423184394836,0.147265625,0.0003,0.9932309985160828,-0.35746881272643805,0.020076098463323432,0.03132543,,
480000,,,,2340,5.255922251194716,0.2,1.6806995868682861,0.2041015625,0.0003,0.9594947695732117,-0.5632503060624003,0.013297032738046255,0.04522778,25.4,46.789828072860836
481280,5,9,1080,,,,,,,,,,,,
483328,1,0,2075,2350,0.6237587563693523,0.2,0.30873703956604004,0.167529296875,0.0003,0.9879637360572815,-0.35022991318255664,0.03210604913765565,0.046236157,,
485000,,,,2360,4.009754384681583,0.2,3.6918106079101562,0.27890625,0.0003,0.9592071771621704,-0.3952378930989653,0.024727312484174035,0.12092724,40.2,65.96861955672503
485376,2,3,1297,,,,,,,,,,,,
487424,3,5,1188,2370,0.7998562059830874,0.2,0.3802788257598877,0.092626953125,0.0003,0.9933373332023621,-0.3698999859858304,0.0016750263530411758,0.0140357,,
489472,4,7,1156,2380,0.8669044629670679,0.2,0.5553698539733887,0.11572265625,0.0003,0.9932910203933716,-0.414091807231307,0.0064423395400808655,0.10307562,,
490000,,,,2390,0.9330045487731695,0.2,0.3406631350517273,0.162353515625,0.0003,0.9927892684936523,-0.465187353361398,-0.007137602138391231,0.072664395,187.6,29.948240262269973
491520,5,9,1055,,,,,,,,,,,,
493568,1,0,2156,2400,1.0919984271749854,0.2,0.5244103670120239,0.092822265625,0.0003,0.9961264729499817,-0.42682550586760043,-0.005105316045228392,0.016505277,,
495000,,,,2410,0.48459020094014704,0.2,0.11633078753948212,0.117822265625,0.0003,0.9975103735923767,-0.43229128075763584,-0.004595810247701592,0.014044443,44.4,69.49639139845968
495616,2,3,1275,,,,,,,,,,,,
497664,3,5,1168,2420,0.6019718586932867,0.2,0.13096082210540771,0.1796875,0.0003,0.997137725353241,-0.3916432250291109,0.0047006930995848965,0.03768509,,
499712,4,7,1110,2430,0.5961372889112682,0.2,0.10491374135017395,0.1236328125,0.0003,0.9973316192626953,-0.38734084730967877,0.0025307174306362866,0.018166006,,
500000,,,,2440,0.6151336043374613,0.2,0.11989226937294006,0.12607421875,0.0003,0.9966743588447571,-0.36431556968018414,0.0058435681319679135,0.019207982,20.6,42.12832895070314
501760,5,9,1083,,,,,,,,,,,,
503808,1,0,2061,2450,0.4625173512846231,0.2,0.20384901762008667,0.20595703125,0.0003,0.9969594478607178,-0.3767533998005092,0.0366131970891729,0.04680684,,
505000,,,,2460,0.43975381590425966,0.2,0.18457184731960297,0.10830078125,0.0003,0.9975796341896057,-0.3703400851227343,0.0012588644927745917,0.029094826,27.8,52.40188368409872
505856,2,3,1269,,,,,,,,,,,,
507904,3,5,1163,2470,0.5720439546741545,0.2,0.2476852685213089,0.27841796875,0.0003,0.9962363839149475,-0.3684400257654488,0.027978028669895138,0.060398303,,
509952,4,7,1123,2480,0.5958021210506559,0.2,1.4555940628051758,0.153271484375,0.0003,0.9959416389465332,-0.3727416359819472,0.0032936291667283514,0.02300651,,
510000,,,,2490,6.6385577518492935,0.2,3.062382221221924,0.1404296875,0.0003,0.943695068359375,-0.5342694450169801,0.0015885287415585481,0.03969388,145.6,57.55641467571259
512000,5,9,1075,,,,,,,,,,,,
514048,1,1,1888,2500,0.7202291842084378,0.2,0.20935451984405518,0.13583984375,0.0003,0.9929404854774475,-0.3325687000993639,0.012822519104520324,0.066803336,,
515000,,,,2510,0.5125474858563394,0.2,0.12829768657684326,0.154736328125,0.0003,0.9976340532302856,-0.3417619439773262,0.020731251782854086,0.049537953,27.8,51.5803477704525
516096,2,3,1302,,,,,,,,,,,,
518144,3,5,1217,2520,0.6817290771286935,0.2,0.2861369252204895,0.105859375,0.0003,0.9959591627120972,-0.33833810668438674,0.005699847827781923,0.02974772,,
520000,,,,2530,0.5967874587979167,0.2,0.9871835708618164,0.18115234375,0.0003,0.9952991008758545,-0.35563213312998415,0.01607109179967665,0.05169214,73.8,37.63172453045845
520192,4,7,1105,,,,,,,,,,,,
522240,5,9,1084,2540,1.5843178801238538,0.2,0.8853527307510376,0.18388671875,0.0003,0.992556631565094,-0.42029860550537707,0.005585997582238633,0.36210334,,
524288,1,1,1785,2550,0.5958703358191997,0.2,0.4041544795036316,0.15439453125,0.0003,0.9961796402931213,-0.29620533385314046,0.017259031951834914,0.24831398,,
525000,,,,2560,14.745250749960542,0.2,1.0918651819229126,0.285986328125,0.0003,0.8445475697517395,-0.5954306812956929,0.027352877192606685,0.120485485,300.0,35.2953094644472
526336,2,3,1127,,,,,,,,,,,,
528384,3,5,1086,2570,16.24783610031009,0.2,15.12158489227295,0.18037109375,0.0003,0.8535034656524658,-0.7870507452636957,0.007241486469865777,0.16587466,,
530000,,,,2580,7.94756772108376,0.2,1.530836582183838,0.260498046875,0.0003,0.8883703947067261,-0.5285641071386635,0.05144615753524704,0.27856642,300.0,31.214768785238267
530432,4,8,975,,,,,,,,,,,,
532480,5,10,949,2590,10.09910551905632,0.2,8.718222618103027,0.211767578125,0.0003,0.8900876641273499,-0.7244606461375952,-0.0018361006936174818,0.049512066,,
534528,1,0,2112,2600,9.373344761505724,0.2,3.340216875076294,0.16298828125,0.0003,0.8784492611885071,-0.6839637735858559,0.0019231637437769678,0.04514928,,
535000,,,,2610,4.449897695332766,0.2,2.109428644180298,0.223046875,0.0003,0.9247216582298279,-0.5924978078342974,0.011545223112625536,0.043166287,300.0,19.21994543671608
536576,2,3,1157,,,,,,,,,,,,
538624,3,5,1107,2620,2.5845572259277105,0.2,1.364615559577942,0.221435546875,0.0003,0.9530079364776611,-0.5494309767149389,0.010709594826039393,0.074830934,,
540000,,,,2630,2.0886908449232577,0.2,0.6129178404808044,0.274072265625,0.0003,0.9722100496292114,-0.552536959014833,-0.0003346044119098224,0.02809945,300.0,18.345159912109374
540672,4,8,1011,,,,,,,,,,,,
542720,5,10,997,2640,5.879833895713091,0.2,1.9664099216461182,0.087255859375,0.0003,0.8501693606376648,-0.5346167247742415,-0.0028788575509679504,0.03238762,,
544768,1,1,2042,2650,0.8657620652578771,0.2,0.33355480432510376,0.227978515625,0.0003,0.9878218770027161,-0.5170901518315076,-0.005345257328008302,0.032959066,,
545000,,,,2660,0.8084726701490581,0.2,0.5728821158409119,0.20205078125,0.0003,0.9919725656509399,-0.46672271359711887,0.006338824742124416,0.08177478,242.2,30.82726086974144
546816,2,3,1157,,,,,,,,,,,,
548864,3,5,1105,2670,0.6196520175784827,0.2,0.2608368396759033,0.2265625,0.0003,0.9951404929161072,-0.4583349822089076,-6.434944516513497e-05,0.022780579,,
550000,,,,2680,4.5311911925673485,0.2,3.7066471576690674,0.105029296875,0.0003,0.9571570158004761,-0.5613325049169362,0.00023563434660900384,0.031535745,184.6,26.968107521533966
550912,4,7,1024,,,,,,,,,,,,
552960,5,10,1019,2690,6.426644706726075,0.2,3.7746055126190186,0.208935546875,0.0003,0.9347627758979797,-0.6089064946398139,0.021404734332463704,0.0459227,,
555000,,,,2700,0.6193407852668316,0.2,0.4187287986278534,0.141455078125,0.0003,0.9899868369102478,-0.4639875362627208,-0.0005846333602676168,0.010868423,76.8,40.19249728918076
555008,1,1,1782,,,,,,,,,,,,
557056,2,3,1259,2710,0.5038574534934014,0.2,0.26941683888435364,0.16923828125,0.0003,0.9950992465019226,-0.4502522618509829,-0.00013819208106724545,0.025510337,,
559104,3,5,1162,2720,3.1052774164825676,0.2,1.8921083211898804,0.13896484375,0.0003,0.9760563373565674,-0.5284990181215108,-0.013725218566833064,0.016950985,,
560000,,,,2730,1.3387137598358094,0.2,0.48178860545158386,0.120361328125,0.0003,0.9886373281478882,-0.471619678940624,0.0023333870762144216,0.020437106,26.8,50.644006526470186
561152,4,7,1059,,,,,,,,,,,,
563200,5,9,1056,2740,0.6534435715992004,0.2,0.5814465880393982,0.1787109375,0.0003,0.9950815439224243,-0.43042002599686385,0.003204604226630181,0.025931573,,
565000,,,,2750,2.9723065281286836,0.2,0.46597564220428467,0.092529296875,0.0003,0.9696017503738403,-0.5017299162223935,-0.0048341275993152525,0.008941874,77.0,36.047368279099466
565248,1,1,1666,,,,,,,,,,,,
567296,2,3,1259,2760,2.884706792328507,0.2,0.5840674638748169,0.15234375,0.0003,0.9793157577514648,-0.47378272702917457,0.017600368433340917,0.047207057,,
569344,3,5,1151,2770,1.2370432196184993,0.2,0.4845162034034729,0.11708984375,0.0003,0.9882174730300903,-0.4064842998050153,-0.006736621604068205,0.012167005,,
570000,,,,2780,1.1828204819001258,0.2,0.23606836795806885,0.159375,0.0003,0.9855598211288452,-0.406802727188915,0.012861143487680238,0.04207489,29.4,57.28104219436646
571392,4,7,1085,,,,,,,,,,,,
573440,5,9,1077,2790,0.889299229439348,0.2,0.6615335941314697,0.15205078125,0.0003,0.9909135699272156,-0.39196498701348903,-0.0012281089686439373,0.020963915,,
575000,,,,2800,0.5535269330255688,0.2,0.1752312034368515,0.15263671875,0.0003,0.9965580701828003,-0.3317462828475982,0.013741825218312442,0.015205576,39.8,66.0582882642746
575488,1,1,1665,,,,,,,,,,,,
577536,2,3,1270,2810,0.5839936573989689,0.2,0.08909446001052856,0.09052734375,0.0003,0.9961823225021362,-0.33906039842404423,0.010186036322556902,0.048697952,,
579584,3,5,1184,2820,3.0417768894694746,0.2,1.7029945850372314,0.190380859375,0.0003,0.9816477298736572,-0.41737176906317475,0.0015361245692474767,0.07425408,,
580000,,,,2830,3.1797414873726666,0.2,0.4406547546386719,0.193408203125,0.0003,0.9877492189407349,-0.38838078901171685,0.013388203597423853,0.17025033,242.0,29.894891095161437
581632,4,7,1058,,,,,,,,,,,,
583680,5,9,1058,2840,0.6299468964803964,0.2,0.49793553352355957,0.241748046875,0.0003,0.9931788444519043,-0.3908420980907977,0.04436873083031969,0.102653444,,
585000,,,,2850,2.983026171196252,0.2,0.34977322816848755,0.20615234375,0.0003,0.9862839579582214,-0.4208027645945549,0.012687152512080501,0.11349365,71.4,32.3742489695549
585728,1,1,1679,,,,,,,,,,,,
587776,2,3,1297,2860,0.9591579808853566,0.2,0.4187101721763611,0.27353515625,0.0003,0.9929885268211365,-0.48921826146543024,-0.008194340116460808,0.35136235,,
589824,3,5,1183,2870,1.0630259049125015,0.2,0.5200570821762085,0.21162109375,0.0003,0.9919032454490662,-0.4704718265682459,0.00889171517410432,0.10052693,,
590000,,,,2880,2.1761523337103426,0.2,0.422435462474823,0.170068359375,0.0003,0.9739601612091064,-0.4947066533379257,-0.004823532339651137,0.027063498,135.0,45.50228655934334
591872,4,7,1085,,,,,,,,,,,,
593920,5,9,1078,2890,0.6414408630691468,0.2,0.5900894999504089,0.282763671875,0.0003,0.9920854568481445,-0.42622894993983207,0.06334336203872226,0.1867061,,
595000,,,,2900,10.727768483012914,0.2,5.744668006896973,0.167236328125,0.0003,0.9028164744377136,-0.7775588162243366,0.000135479579330422,0.03727865,129.0,29.097205179929734
595968,1,1,1610,,,,,,,,,,,,
598016,2,3,1273,2910,14.008012814074755,0.2,3.004401445388794,0.117578125,0.0003,0.9395575523376465,-0.6277478976175189,0.00107109999662498,0.009873185,,
600000,,,,2920,5.638890208490193,0.2,1.1947475671768188,0.082373046875,0.0003,0.9633128643035889,-0.5460306429304183,-0.0012210986984428017,0.012058458,188.6,28.78577854633331
600064,3,5,1083,,,,,,,,,,,,
602112,4,7,1079,2930,10.590514847636223,0.2,6.074276447296143,0.142041015625,0.0003,0.956902265548706,-0.6827196329832077,-0.004415115342999343,0.015553491,,
604160,5,9,1064,2940,5.848863272741437,0.2,2.247549295425415,0.144091796875,0.0003,0.9596545100212097,-0.5743256591260433,0.0037259877033648083,0.015675623,,
605000,,,,2950,4.184280726313591,0.2,0.8503190279006958,0.16787109375,0.0003,0.9770255088806152,-0.551317800488323,0.007602757219865452,0.019550476,186.0,32.30162528753281
